high_res,low_res
hold,detener
granitic,granítico
excretory,excretorio
pinch,pellizcar
arrest,detener
manufacture,producir
authoritarian,autoritario
conjunctive,conjuntivo
idolatrous,idólatra
over,sobre
stoically,estoicamente
oversee,supervisar
feisty,tenaz
Anglican,anglicano
reiterate,reiterar
pump,bombear
praise,alabar
sense,sentir
scorn,rechazar
boiling,hirviendo
ichthyological,ictiológico
flee,huir
halal,halal
sly,astuto
pathetic,patético
atrocious,ofensivo
adventitious,exógeno
Yeltsin,Yeltsin
officially,oficialmente
important,importante
Susanna,Susana
éclat,esplendor
buoyancy,optimismo
Nicholas,Nicolás
whither,adónde
drench,empapar
seedy,semilloso
parasol,parasol
Thaddaeus,Tadeo
matriarchal,matriarcal
disorganized,desorganizado
infertile,estéril
depict,representar
Greco-Roman,grecorromano
guillotine,guillotinar
excited,excitado
heart,coraje
terrible,terrible
breakwater,rompeolas
triple,triple
shamelessly,desvergonzadamente
incruental,incruento
resolve,resolver
funeral,funeral
operate,operar
Magdalene,Magdalena
Mudéjar,mudéjar
singular,singular
subatomic,subatómico
understand,entender
intermediate,intermedio
mentally,mentalmente
antidemocratic,antidemocrático
methylation,metilación
bland,suave
industrialize,industrializar
tussock,tussok
Judah,Judá
secure,seguro
Bosnian,bosnio
coincide,coincidir
metallurgically,metalúrgicamente
me,yo
Nathan,Natán
widget,espátula
calaboose,calabozo
sour,agrio
Tchaikovsky,Chaikovski
plethora,plétora
allot,asignar
wide,ancho
thank,agradecer
biodegradable,biodegradable
reach,alcanzar
dynamically,dinámicamente
steep,sopa
wound,herir
visualise,visualizar
rejuvenate,rejuvenecer
endeavour,esfuerzo
Isaac,Isaac
assist,ayudar
able,capaz
succinctly,sucintamente
Sappho,Safo
pitch,declive
groan,gemido
besides,además
yum,ñam
repeat,repetir
clot,coagularse
George,Jorge
afterwards,después
publish,publicar
bellow,bramar
León,León
drastic,drástico
abruptly,precipitadamente
gather,colegir
allegorical,alegórico
owie,coco
gluttonous,glotón
call,convocatoria
agoraphobic,agorafóbico
parametric,paramétrico
hawkbit,leontodon
guilty,culpable
caw,graznar
family,familiar
with,contra
refresh,refrescar
attentively,atentamente
bass,bajo
bet,apostar
spread,dispersar
completely,completamente
decorative,decorativo
Olympic,olímpico
antiviral,antivirus
Microscopium,Microscopium
solid,sólido
counsel,abogado
atrocious,atroz
Brezhnev,Brézhnev
galvanic,galvánico
habitual,habitual
gallant,cortés
acid,malhumorado
X,equis
who,quien
Sevillian,sevillano
paraleipsis,paralipsis
tostone,tostón
Uzbek,uzbeko
bend,doblegar
administrative,administrativo
supplement,suplemento
logical,lógico
even,aun
ochre,ocre
shocking,espantoso
dash,lanzarse
free,libre
content,contentar
surely,seguramente
Reticulum,Reticulum
agglutinative,aglutinante
log,registrar
Eridanus,Eridanus
Elizabethan,isabelino
Orion,Orión
notch,tarjar
transmontane,transmontano
forgotten,olvidado
leak,filtrar
embark,embarcar
immoral,inmoral
senile,senil
delimit,delimitar
Zilpah,Zilpa
fauna,fauna
decent,decente
pessimistic,pesimista
productive,productivo
unintelligibly,ininteligiblemente
pink,rosado
slow,lento
autistic,autista
vehement,vehemente
born-again,renacido
detectable,detectable
interesting,interesante
microscopic,microscópico
arrangement,arreglo
perfect,perfecto
dismiss,disipar
vegan,vegano
prudently,prudentemente
unbelievably,increíblemente
lunatic,lunático
Odisha,Orissa
heap,amontonar
thus,así
grill,asar
psychopharmacological,psicofarmacológico
herbaceous,herbáceo
portal,portada
dispel,disipar
cry,llorar
call,visita
lucre,lucro
dulcet,dulce
agitate,agitar
filter,filtrar
present,presente
rampant,desenfrenado
incite,amotinar
phony,falso
kawaii,kawaii
clamor,alarido
arch,pícaro
now,ahora
mythomaniacal,mitómano
sulfate,sulfatar
prosperous,rico
manage,manejar
restart,reiniciar
Trento,Trento
stop,parar
dilapidation,dilapidación
steroidogenic,esteroidogénico
influence,influir
telegraph,telégrafo
item,ítem
Bechuanaland,Bechuanalandia
screenshot,pantallazo
divide,dividir
jugular,yugular
umpire,árbitro
home,hogar
bet,apostar
monstrous,monstruoso
discontent,descontento
microbial,microbiano
grave,grabar
elaborate,elaborar
outline,contorno
late,tarde
resistance,resistencia
polytheistic,politeísta
indelible,indeleble
humility,humildad
bloody,ensangrentar
tear,demoler
adjectival,adjetival
lurk,acechar
sap,savia
seminal,influencial
slovenly,descuidado
incontrovertibly,indisputablemente
prorate,prorratear
drown,ahogar
baffling,desconcertante
kitesurfer,kiteboarder
disloyal,desleal
nether,subterráneo
stranded,abandonado
regular,regular
senarius,senario
articulatory,articulatorio
shake,agitar
saturate,saturar
case,empaquetar
Provençal,provenzal
so,pues
stretch,estirar
infrequent,infrecuente
fry,freír
impassive,impasible
practice,practicar
intercalary,intercalado
forget,olvidar
methodical,metódico
wetland,humedal
fatuous,fatuo
nudist,nudista
ruthless,despiadado
equidistant,equidistante
gum,chicle
medieval,medieval
offensive,ofensivo
respectful,respetuoso
per,por
receptive,receptivo
sex,sexar
limp,flácido
selenology,selenologia
alleged,supuesto
excrete,excretar
reply,repetir
suffering,sufrido
decide,decidir
massacre,masacrar
repellent,repelente
emerge,aflorar
hemodynamics,hemodinámica
stand,soportar
self-esteem,autoestima
injure,herir
remodel,remodelar
crackdown,represión
empathic,empático
flummoxed,desconcertado
metabolic,metabólico
chip,astilla
sound,sondear
decrease,disminuir
diaphanous,diáfano
render,pasar
unacceptably,inaceptablemente
forgive,perdonar
forfeit,rendir(se)
salt,salino
transparently,transparentemente
whimper,lloriquear
Maurice,Mauricio
shallow,superficial
catalyze,catalizar
stuff,rellenar
smelly,maloliente
Aristophanes,Aristófanes
train,entrenar
literature,literatura
confine,confinar
issue,emitir
Celia,Celia
majesty,majestad
twenty-two,veintidós
climatological,climatológico
heuristic,heurístico
mutant,mutante
scale,escalar
me,me
Dijon,Dijon
thrombotic,trombótico
Wikipedia,Wikipedia
frizzy,arizado
Bertram,Beltrán
inventory,inventariar
call,llamar
onset,comienza
walnut,nogal
banal,banal
encircle,rodear
tilde,tilde
cottage,chalet
happy-go-lucky,despreocupado
labyrinthine,laberíntico
eastern,oriental
extirpate,extirpar
western,occidental
Crater,Crater
foster,criar
toxicological,toxicológico
equilateral,equilátero
caterwaul,maullar
abnormal,anormal
clump,amontonar
Reuben,Rubén
issue,resultar
abridge,privar
corporeal,corpóreo
linear,lineal
tread,pisar
cut,retirar
requisition,requisar
together,junto
glow,brillar
Yekaterinburg,Ekaterimburgo
peel,pelar
impurity,impureza
stilted,afectado
fertile,fértil
wiseguy,vivo
comfort,comodidad
low,bajo
nephritic,nefrítico
triptych,tríptico
fiercely,fieramente
state,declarar
absent,ausente
condensation,condensación
leviathan,leviatán
fainting,desmayo
futuristic,futurista
pucker,arrugar
polysynthetic,polisintético
constant,constante
Cantonese,cantonés
truncate,truncar
probable,probable
mechanically,mecánicamente
genitive,genitivo
digestive,digestivo
licitly,lícitamente
wave,ondular
peritoneum,peritoneo
perpendicularly,perpendicularmente
darken,oscurecer
Constantine,Constantino
juxtapose,yuxtaponer
privilege,privilegiar
troak,trocar
mange,sarna
plunder,saquear
basically,básicamente
Navarran,navarro
do,hacer
intercity,interurbano
uninterruptedly,ininterrumpidamente
alkane,alcano
semifluid,semiflúido
retard,perecear
hand,llevar
mount,montar
Proto-Altaic,Proto-altaico
illuminate,iluminar
embellish,adornar
bearable,soportable
worth,valioso
Crux,Crux
metastasis,metástasis
messy,desordenado
unbosom,desahogarse
auditory,auditivo
offhand,indiferente
listen,escuchar
obviously,obviamente
audiovisual,audiovisual
fiddle,amañar
sinuous,sinuoso
brash,tosco
consequential,consiguiente
evolve,desarrollar
morbid,morboso
spherical,esférico
scrape,arañarse
public,público
move,mover
sura,azora
magic,mágico
claim,demandar
libidinosity,libidinosidad
wash,lavar
I'm,soy
lonely,solitario
fast,ayunar
diluvial,diluvial
vulcanize,vulcanizar
physical,físico
competently,competentemente
negative,negativo
fatten,engordar
Etruscan,etrusco
Himalayan,himalayo
microcosm,microcosmos
sustain,sostener
flock,apelotonar
Sikh,sij
cut,circuncidado
cosy,acogedor
learn,aprender
work,trabajar
gules,gules
private,privado
Tuscan,toscano
hammer,martillar
vandalic,vandálico
consider,considerar
plunge,zambullir
Australian,australiano
exchange,cambiar
assess,determinar
feeling,sentimental
bland,soso
visualise,visualizar
distance,alejar-se
Shakespeare,Shakespeare
understand,entender
digest,digerir
medlar,níspero
picaroon,piratear
epicene,epiceno
majoritively,mayoritariamente
floating,flotante
daydreamer,pajarón
boom,pum
Malay,malayo
conduct,guiar
soothe,aliviar
thirsty,sediento
corrupt,corrupto
sufficient,suficiente
misanthropic,misantrópico
dear,querido
conceive,concebir
Tskhinvali,Tsjinval
learn,aprender
chicken-hearted,gallina
log,talar
excavate,excavar
flirtatious,coqueto
surficial,superficial
belligerent,bélico
uncertain,incierto
suspicious,sospechoso
radioactive,radiactivo
repress,reprimir
linear,lineal
cyto-,cito-
photosynthetic,fotosintético
tamp,apisonar
medium,médium
Hydra,Hydra
adrenergic,adrenérgico
absent,ausente
Bitola,Bitola
epidemic,epidémico
run,correr
whether,si
vociferate,vociferar
defective,defectivo
score,anotar
passing,pasajero
aortic,aórtico
aristocratically,aristocráticamente
traitor,traidor
snowy,nevado
boisterous,salvaje
affluent,abundante
feceate,defecar
explain,explicar
sticky,bochornoso
sterilizable,esterilizable
revert,revertir
sent,enviado
needless,inútil
tipple,era
navigate,navegar
feudal,feudal
convert,convertir
enhance,aumentar
monkish,frailuno
by,para
contend,sostener
polynuclear,polinuclear
transfer,transferir
to,a
awkwardness,torpeza
extragalactic,extragaláctico
bun,bollo
confirm,confirmar
duly,debidamente
posit,postular
adnate,adnato
presage,presagio
arrest,parar
mercilessly,despiadadamente
oil,engrasar
wettability,mojabilidad
disobey,desobedecer
incompetent,incompetente
yen,desear
mobilise,movilizarse
noisily,ruidosamente
inclement,inclemente
peptidic,peptídico
Martian,marciano
meditate,meditar
gilded,dorado
omnipresent,omnipresente
lysine,lisina
intervene,intervenir
altruistic,altruista
lucid,lúcido
asterism,asterismo
escrow,fideicomiso
hold,mantener
superimpose,sobreponer
elusive,elusivo
gloaming,crepúsculo
resolute,resoluto
root,raíz
Edgar,Edgardo
flog,azotar
loaf,holgazanear
trigonometric,trigonométrico
huh,eh
-ise,-izar
briefs,slip
oblivion,olvido
trisect,trisecar
farrago,fárrago
typological,tipológico
truly,realmente
rechargeable,recargable
discoid,discoide
maniac,maniático
geodesic,geodésico
crucify,crucificar
dumb,estúpido
interactive,Interactivo
epigraph,epígrafe
identifiable,identificable
Gabriel,Gabriel
self-conscious,autoconsciente
doubtlessly,indudablemente
outside,afuera
inside,adentro
irreversible,irreversible
scar,cicatrizarse
clamber,trepar
multiply,multiplicar
threaten,amenazar
exert,esforzar
snooty,presuntuoso
enchant,encantar
well-meaning,bienintencionado
frankly,francamente
seventeen,diecisiete
litany,letanía
diamonds,diamantes
theoretic,teórico
cardiovascular,cardiovascular
consumable,comestible
Incan,incaico
superior,superior
crankcase,cárter
circulate,circular
healthy,sano
disruptive,perturbante
fry,freírse
gray,gris
mutable,mutable
Sinhalese,cingalés
double,doble
snotty,mocoso
human,humano
trivialize,trivializar
relinquish,desistir
withhold,retener
malware,espanol
regional,regional
peregrinate,peregrinar
fetter,engrilletar
choose,escoger
administratively,administrativamente
stipulate,estipular
symbolic,simbólico
palinspastic,palinspástico
ferromagnetism,ferromagnetismo
wicked,malvado
necessarily,necesariamente
groom,acicalar
pale,palidecer
coordinate,coordinar
agoraphobia,agorafobia
stuck,atascado
impart,impartir
asinine,asnal
prominent,prominente
deform,deformar
supplant,suplantar
as,como
forget,olvidar
pant,palpitar
courteous,cordial
brisket,pecho
AKA,TCC
exotic,exótico
acceptance,aceptación
material,material
take,tomar
profound,profundo
until,hasta
coherent,coherente
apocalyptic,apocalíptico
Chickasaw,chickasaw
compile,compilar
irrationally,irracionalmente
Rakvere,Rakvere
Lusophone,portugués
aftershock,réplica
semaphore,semáforo
dribble,babear
approach,aproximarse
escape,escapar
deuce,dos
listen,escuchar
Balearic,baleárico
strange,extraño
antifeminist,antifeminista
bow,arquearse
employ,emplear
collect,coleccionar
mandrake,mandragora
off,de
pop,pum
asinine,estúpido
Alexius,Alejo
direct,dirigir
philologically,filológicamente
safeguard,resguardar
develop,desarrollar
usurp,usurpar
immunize,inmunizar
Kalmyk,calmuco
correctly,correctamente
municipality,municipio
stick,permanecer
simian,símico
exult,exultar
top,despuntar
acquaint,familiarizar
Taino,taíno
electronic,electrónico
primordial,primordial
implement,implementar
principal,principal
marginal,orillario
nimble,ágil
perpetuate,perpetuar
decentralized,descentralizado
fervent,ferviente
bale,embalar
between,entre
repeatedly,reiteradamente
unqualified,incondicional
structural,estructural
butcher,masacrar
mandibular,mandibular
tragus,trago
chemotherapy,quimioterapia
or,oro
enjoy,gozar
Abigail,Abigáil
ravenous,famélico
contradictory,contradictorio
flag,señalar
abduce,abducir
shed,derramar
transitive,transitivo
Lyons,Lyón
superstitiously,supersticiosamente
exclude,excluir
colposcope,colpóscopo
fake,fingir
Albacete,Albacete
anal,anal
retreat,retiro
gravitational,gravitatorio
moan,quejar
totally,totalmente
improve,mejorar
rhythmic,rítmico
cool,fresco
picturesque,pintoresco
episode,episodio
last,último
longing,añoranza
detect,detectar
drum,tamborear
heyday,auge
repose,reposo
Maine,Maine
Oxford,Oxford
thorough,minucioso
gist,esencia
uneven,desuniforme
trot,trotar
Gaul,Galia
reign,reinar
Anguilla,Anguila
parasympathetic,parasimpático
govern,gobernar
camber,peralte
deliver,liberar
primary,básico
date,citar
academically,académicamente
Moses,Moisés
respect,respetar
enshrine,consagra
epicene,andrógino
yawn,bostezar
acne,acné
inundate,inundar
multicultural,multicultural
destroy,sacrificar
Perseus,Perseus
charge,atacar
openable,abertible
chronologically,cronológicamente
syndical,sindical
ruderal,ruderal
chaotic,caótico
universal,universal
disastrous,desastroso
hypocritical,mocho
revenue,retorno
alumnus,alumno
false,falso
divulge,propalar
walk-on,exceso
celestial,celestial
expose,exponer
Cosenza,Cosenza
intrepid,intrépido
treat,tratar
nostalgic,nostálgico
prerogative,prerrogativa
subject,someter
bark,descortezar
wove,tejía
autumnal,otoñal
acquainted,conocido
wear,fatigar
insipid,insípido
sardonically,sardónicamente
visual,visual
casual,casual
aspiration,aspiración
meagre,exiguo
Stanislaus,Stanislao
caption,subtitular
abortifacient,abortivo
laryngological,laringológico
dissolve,disolver
break,romper
plinth,fundato
sleeve,enfundar
gallop,galopar
Hector,Héctor
say,digamos
thin,fino
magnetic,magnético
fly,huir
Arabian,árabe
psittacosis,psitacosis
insidious,insidioso
overtly,abiertamente
automotive,automotor
algebraic,algebraico
abruptly,abruptamente
hydrophobic,hidrófobo
inebriated,ebrio
smartass,burlón
adore,querer
wiseguy,mafioso
advertising,publicidad
ethnomusicology,etnomusicologia
metrosexual,metrosexual
homosexual,homosexual
gratis,gratis
consummate,consumado
scrupulously,escrupulosamente
Iberia,Iberia
financially,financieramente
civil,civil
self-,auto-
naughtily,malvadamente
Zeeland,Zelanda
Malay,malayo
grab,agarrar
decent,decente
of,de
Caroline,Carolina
namby-pamby,ñoño
dehydration,deshidratación
pimiento,pimentón
elitist,elitista
stochastic,estocástico
gentle,tierno
conflate,unir
acid,ácido
aerophone,aerófon
illustrate,ilustrar
chronically,crónicamente
binder,carpeta
imitate,imitar
charge,cargar
Bosnia,Bosnia
Naomi,Noemí
symbolize,simbolizar
phosphorescent,fosforescente
spank,nalguear
co-sister-in-law,concuñada
barbarian,bárbaro
ulcerous,ulceroso
systemic,sistémico
counterfeit,contrahecho
cause,causar
Cassiopeia,Cassiopeia
bundle,abrigarse
think,pensar
obscure,obscuro
call,grito
mega-,mega-
excessively,excesivamente
subject,sujeto
quintessential,quintaesencial
permit,permitir
award,premiar
insufficient,insuficiente
orgasmic,orgásmico
bustle,abundar
chrono-,crono-
colonial,colonial
redolent,redolente
Zaire,Zaire
blur,difuso
remotely,remotamente
Narcissus,Narciso
ionic,iónico
repellent,impermeable
exciting,emocionante
well,bueno
new,nuevo
immunological,inmunológico
abnegate,rechazar
Simeon,Simeón
transpose,transportar
astrological,astrológico
recurring,periódico
spill,derramar
random,aleatorio
retaliation,represalia
quotidian,cotidiano
common,común
pubic,púbico
redirect,redireccionar
deem,estimar
congeal,congelar
reify,cosificar
Vela,Vela
snowplow,quitanieves
denude,desnudar
rhombicosidodecahedron,rombicosidodecaedro
traumatise,traumatizar
turn,girar
aerodynamic,aerodinámico
wax,crecer
lust,lujuria
avian,aviar
